Cash Positions Details,,,,,,,,Account Details,,,,,,Future Positions List,,,,,
Client ID,Accounting Balance,Accounting Balance,Value Date,Balance at Value Date,Balance at Value Date,Exchange Values Rate,Last Booking Date,IBAN,KBL Cash Account Number,Client Name,Account Title,Account Type,Account currency,Future Date D+1,Future Position D+1,Future Date D+2,Future Position D+2,Future Date D+3,Future Position D+3
,,Exchange Value (EUR),,,Exchange Value (EUR),,,,,,,,,,,,,,
ID-568CF6D3,"0,00","0,00",31/12/2025,"0,00","0,00","1,00",22/02/2024,ID-C94A93E0,ID-568CF6D3,,ID-1D701C47,CC,EUR,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-568CF6D3,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",09/12/2025,ID-C94A93E0,ID-568CF6D3,,ID-1D701C47,CC,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-568CF6D3,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",03/06/2025,ID-C94A93E0,ID-568CF6D3,,ID-1D701C47,CC,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-568CF6D3,"0,00","0,00",31/12/2025,"0,00","0,00","10,746,448,298,837,200",24/04/2025,ID-C94A93E0,ID-568CF6D3,,ID-1D701C47,75,CHF,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-568CF6D3,"0,00","0,00",31/12/2025,"0,00","0,00","0,1338746319341458",10/03/2023,ID-C94A93E0,ID-568CF6D3,,ID-1D701C47,75,DKK,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-568CF6D3,"0,00","0,00",31/12/2025,"0,00","0,00","1,00",16/06/2025,ID-C94A93E0,ID-568CF6D3,,ID-1D701C47,75,EUR,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-568CF6D3,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",25/06/2025,ID-C94A93E0,ID-568CF6D3,,ID-1D701C47,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-568CF6D3,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",25/06/2025,ID-C94A93E0,ID-568CF6D3,,ID-1D701C47,75,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-568CF6D3,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",28/05/2025,ID-C94A93E0,ID-568CF6D3,,ID-1D701C47,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-FCA8FA86,"22.230,28","25.456,58",31/12/2025,"22.230,28","25.456,58","1,145,130,784,275,790",31/12/2025,ID-878B2FA3,ID-FCA8FA86,,ID-71D54A91,CC,GBP,02/01/2026,"22.230,28",05/01/2026,"22.230,28",06/01/2026,"22.230,28"
ID-FCA8FA86,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",07/02/2025,ID-878B2FA3,ID-FCA8FA86,,ID-71D54A91,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-FCA8FA86,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",02/07/2024,ID-878B2FA3,ID-FCA8FA86,,ID-71D54A91,75,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-FCA8FA86,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",24/07/2025,ID-878B2FA3,ID-FCA8FA86,,ID-71D54A91,76,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-FCA8FA86,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",31/12/2025,ID-878B2FA3,ID-FCA8FA86,,ID-71D54A91,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-E822FC61,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",25/11/2024,ID-C8BA2199,ID-E822FC61,,ID-C92D8733,CC,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-E822FC61,"0,00","0,00",31/12/2025,"0,00","0,00","1,00",02/02/2024,ID-C8BA2199,ID-E822FC61,,ID-C92D8733,75,EUR,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-E822FC61,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",29/02/2024,ID-C8BA2199,ID-E822FC61,,ID-C92D8733,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-E822FC61,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",02/02/2024,ID-C8BA2199,ID-E822FC61,,ID-C92D8733,75,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-E822FC61,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",17/07/2023,ID-C8BA2199,ID-E822FC61,,ID-C92D8733,76,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
